"uniform_id","trialid","trial","trial.nwords","nblink","nrun","nfix","nout","sac","skip","refix","reg","mfix","firstpass","rereading","total","rate","ACCURACY"
"ge_po_13",1,"In der alten römischen Religion",174,5,51,315,0,8.142,0.879,0.363,0.432,156,31162,17838,49000,213,4
"ge_po_13",10,"Eine Nationalflagge symbolisiert als Flagge",180,7,39,261,0,8.489,0.311,0.271,0.285,149,28822,10021,38843,278,3
"ge_po_13",2,"Das Wort Shaka, begleitet von",159,4,34,230,0,8.939,0.503,0.248,0.279,150,23883,10660,34543,276,4
"ge_po_13",3,"Im Leistungssport ist Doping die",190,8,46,325,0,8.551,0.468,0.322,0.275,161,32506,19707,52213,218,4
"ge_po_13",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,8,61,420,0,8.589,0.556,0.368,0.375,161,31652,35767,67419,160,4
"ge_po_13",5,"Der Weltumwelttag oder auch Tag",152,6,40,285,0,7.805,0.947,0.32,0.336,161,33190,12812,46002,198,4
"ge_po_13",6,"Das Monokelist eine Sehhilfe, die",149,4,41,254,0,7.397,0.336,0.317,0.3,162,24340,16883,41223,217,2
"ge_po_13",7,"Eine Weinprobe ist die sensorische",198,14,52,375,0,8.352,0.465,0.304,0.304,148,32437,23043,55480,214,4
"ge_po_15",10,"Eine Nationalflagge symbolisiert als Flagge",180,20,53,282,0,8.309,0.539,0.356,0.356,209,40406,18529,58935,183,4
"ge_po_15",11,"Die Internationale Union für Naturschutz",171,32,69,389,0,8.495,0.345,0.416,0.497,204,41707,37763,79470,129,4
"ge_po_15",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,22,43,256,0,8.315,0.406,0.365,0.405,209,36166,17225,53391,180,4
"ge_po_15",2,"Das Wort Shaka, begleitet von",159,8,51,240,0,9.43,0.396,0.278,0.414,210,33429,16917,50346,189,4
"ge_po_15",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,23,65,289,0,8.481,0.417,0.333,0.447,224,40457,24281,64738,167,4
"ge_po_15",5,"Der Weltumwelttag oder auch Tag",152,18,54,256,0,8.434,0.651,0.369,0.41,196,31512,18626,50138,182,4
"ge_po_15",6,"Das Monokelist eine Sehhilfe, die",149,16,55,261,0,9.388,0.369,0.237,0.466,201,31744,20799,52543,170,4
"ge_po_15",8,"Orangensaft ist ein Fruchtsaft, der",132,14,37,224,0,10.247,0.538,0.297,0.455,200,29770,15051,44821,177,3
"ge_po_15",9,"Der Imker beschäftigt sich mit",173,3,22,178,0,9.669,0.52,0.269,0.193,211,33180,4446,37626,276,3
"ge_po_16",10,"Eine Nationalflagge symbolisiert als Flagge",180,2,17,190,0,7.689,0.583,0.242,0.145,183,29320,5516,34836,310,3
"ge_po_16",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,3,10,173,0,7.868,0.419,0.183,0.075,198,31358,2853,34211,281,4
"ge_po_16",2,"Das Wort Shaka, begleitet von",159,1,10,161,0,7.412,0.447,0.213,0.082,200,30207,1990,32197,296,4
"ge_po_16",3,"Im Leistungssport ist Doping die",190,2,15,210,0,7.964,0.453,0.285,0.097,188,35276,4117,39393,289,4
"ge_po_16",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,2,15,194,0,7.767,0.256,0.23,0.101,187,33251,3113,36364,297,4
"ge_po_16",5,"Der Weltumwelttag oder auch Tag",152,3,16,184,0,7.921,0.322,0.264,0.107,185,30409,3626,34035,268,3
"ge_po_16",6,"Das Monokelist eine Sehhilfe, die",149,5,19,186,0,7.899,0.644,0.203,0.138,200,28582,8618,37200,240,4
"ge_po_16",7,"Eine Weinprobe ist die sensorische",198,3,8,211,0,7.929,0.303,0.203,0.051,193,38069,2635,40704,292,4
"ge_po_16",9,"Der Imker beschäftigt sich mit",173,1,7,183,0,7.9,0.237,0.235,0.044,184,33267,338,33605,309,3
"ge_po_17",1,"In der alten römischen Religion",174,4,39,242,0,7.523,0.466,0.25,0.329,205,36057,13530,49587,211,4
"ge_po_17",10,"Eine Nationalflagge symbolisiert als Flagge",180,4,47,307,1,7.827,0.3,0.333,0.307,219,46008,21293,67301,160,4
"ge_po_17",11,"Die Internationale Union für Naturschutz",171,3,30,272,0,7.635,0.316,0.375,0.199,217,45660,13404,59064,174,2
"ge_po_17",2,"Das Wort Shaka, begleitet von",159,4,43,263,0,7.551,0.616,0.326,0.341,211,34575,20963,55538,172,4
"ge_po_17",3,"Im Leistungssport ist Doping die",190,5,38,263,0,8.29,0.479,0.295,0.26,215,44675,11890,56565,202,4
"ge_po_17",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,4,34,249,1,7.676,0.35,0.31,0.248,213,42984,10078,53062,204,4
"ge_po_17",5,"Der Weltumwelttag oder auch Tag",152,5,38,308,0,7.906,0.316,0.402,0.307,217,46819,20005,66824,136,3
"ge_po_17",7,"Eine Weinprobe ist die sensorische",198,3,56,326,0,7.76,0.308,0.293,0.305,209,46129,21942,68071,175,4
"ge_po_17",8,"Orangensaft ist ein Fruchtsaft, der",132,2,35,268,1,8.455,0.371,0.415,0.33,210,37007,19312,56319,141,4
"ge_po_18",10,"Eine Nationalflagge symbolisiert als Flagge",180,16,41,238,0,8.388,0.428,0.225,0.285,212,39804,10607,50411,214,4
"ge_po_18",11,"Die Internationale Union für Naturschutz",171,8,28,222,0,8.48,0.363,0.292,0.182,208,37779,8441,46220,222,4
"ge_po_18",2,"Das Wort Shaka, begleitet von",159,12,31,191,0,8.783,0.34,0.129,0.242,222,34293,8072,42365,225,4
"ge_po_18",3,"Im Leistungssport ist Doping die",190,10,45,264,0,8.954,0.347,0.241,0.291,195,37771,13839,51610,221,4
"ge_po_18",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,10,34,245,0,8.372,0.461,0.238,0.218,216,40821,12096,52917,204,2
"ge_po_18",6,"Das Monokelist eine Sehhilfe, die",149,11,35,236,0,8.68,0.356,0.235,0.273,224,36425,16507,52932,169,3
"ge_po_18",7,"Eine Weinprobe ist die sensorische",198,7,32,236,1,8.224,0.646,0.19,0.184,223,44691,8002,52693,225,3
"ge_po_18",8,"Orangensaft ist ein Fruchtsaft, der",132,6,22,207,0,8.469,0.333,0.287,0.209,220,32478,13089,45567,174,3
"ge_po_19",1,"In der alten römischen Religion",174,7,50,246,0,7.827,0.31,0.247,0.34,178,30951,12940,43891,238,3
"ge_po_19",11,"Die Internationale Union für Naturschutz",171,8,21,209,0,9.435,0.398,0.31,0.194,183,30129,8117,38246,268,4
"ge_po_19",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,4,33,203,0,8.591,0.3,0.187,0.231,177,26743,9130,35873,268,3
"ge_po_19",2,"Das Wort Shaka, begleitet von",159,3,45,272,0,8.573,0.333,0.217,0.301,176,29027,18791,47818,200,4
"ge_po_19",3,"Im Leistungssport ist Doping die",190,8,37,253,0,8.774,0.284,0.228,0.24,171,35760,7618,43378,263,4
"ge_po_19",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,8,51,272,0,8.365,0.35,0.215,0.304,175,32708,14768,47476,227,3
"ge_po_19",5,"Der Weltumwelttag oder auch Tag",152,8,37,237,0,9.02,0.349,0.221,0.305,181,32592,10269,42861,213,4
"ge_po_19",6,"Das Monokelist eine Sehhilfe, die",149,3,42,231,0,8.07,0.376,0.234,0.352,188,30002,13439,43441,206,4
"ge_po_19",7,"Eine Weinprobe ist die sensorische",198,8,41,259,0,8.419,0.394,0.218,0.259,170,36406,7506,43912,271,4
"ge_po_19",8,"Orangensaft ist ein Fruchtsaft, der",132,1,24,164,0,9.441,0.333,0.274,0.217,166,22537,4626,27163,292,4
"ge_po_19",9,"Der Imker beschäftigt sich mit",173,6,42,246,0,8.57,0.387,0.255,0.29,167,30188,10951,41139,252,2
"ge_po_2",1,"In der alten römischen Religion",174,2,51,264,0,8.928,0.483,0.239,0.333,226,37144,22487,59631,175,4
"ge_po_2",10,"Eine Nationalflagge symbolisiert als Flagge",180,3,58,280,1,8.749,0.589,0.224,0.378,216,35713,24655,60368,179,3
"ge_po_2",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,0,45,260,1,8.356,0.519,0.232,0.348,222,37428,20391,57819,166,4
"ge_po_2",2,"Das Wort Shaka, begleitet von",159,1,37,193,0,9.455,0.371,0.198,0.31,219,31009,11278,42287,226,3
"ge_po_2",5,"Der Weltumwelttag oder auch Tag",152,1,49,260,0,9.695,0.467,0.246,0.381,220,34387,22778,57165,160,3
"ge_po_2",6,"Das Monokelist eine Sehhilfe, die",149,2,42,230,0,8.149,0.644,0.254,0.36,215,32689,16709,49398,181,4
"ge_po_2",7,"Eine Weinprobe ist die sensorische",198,0,50,268,0,8.73,0.667,0.178,0.344,222,40191,19186,59377,200,4
"ge_po_2",8,"Orangensaft ist ein Fruchtsaft, der",132,0,38,219,0,9.611,0.879,0.224,0.336,228,31823,18056,49879,159,3
"ge_po_20",10,"Eine Nationalflagge symbolisiert als Flagge",180,2,31,228,0,9.649,0.811,0.254,0.246,191,33037,10614,43651,247,3
"ge_po_20",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,1,23,186,0,10.494,0.794,0.195,0.22,186,26062,8495,34557,278,3
"ge_po_20",3,"Im Leistungssport ist Doping die",190,1,21,202,0,9.352,0.468,0.184,0.17,179,31685,4529,36214,315,4
"ge_po_20",5,"Der Weltumwelttag oder auch Tag",152,2,23,204,0,8.538,0.697,0.281,0.198,194,33911,5612,39523,231,4
"ge_po_20",6,"Das Monokelist eine Sehhilfe, die",149,0,28,227,0,9.068,0.309,0.248,0.231,194,27416,16595,44011,203,4
"ge_po_20",8,"Orangensaft ist ein Fruchtsaft, der",132,2,27,207,0,10.148,0.652,0.236,0.282,195,26495,13891,40386,196,4
"ge_po_20",9,"Der Imker beschäftigt sich mit",173,1,31,218,0,10.341,0.543,0.198,0.275,182,29437,10240,39677,262,4
"ge_po_21",1,"In der alten römischen Religion",174,12,27,192,0,8.381,0.483,0.232,0.224,193,29310,7777,37087,282,3
"ge_po_21",10,"Eine Nationalflagge symbolisiert als Flagge",180,12,21,198,0,8.626,0.372,0.228,0.147,211,36042,5669,41711,259,4
"ge_po_21",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,16,38,249,0,9.55,0.6,0.187,0.245,195,34150,14347,48497,223,4
"ge_po_21",7,"Eine Weinprobe ist die sensorische",198,14,36,228,1,8.318,0.505,0.236,0.25,203,35487,10903,46390,256,4
"ge_po_21",8,"Orangensaft ist ein Fruchtsaft, der",132,14,25,179,0,10.603,0.5,0.24,0.292,199,23303,12307,35610,222,3
"ge_po_21",9,"Der Imker beschäftigt sich mit",173,22,47,273,0,9.906,0.572,0.268,0.433,200,33058,21444,54502,190,4
"ge_po_23",1,"In der alten römischen Religion",174,8,72,493,0,7.037,0.632,0.372,0.396,213,47967,56831,104798,100,1
"ge_po_23",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,8,46,347,0,7.83,0.325,0.363,0.281,220,40993,35412,76405,126,3
"ge_po_23",2,"Das Wort Shaka, begleitet von",159,3,55,408,0,7.151,0.352,0.367,0.373,206,40957,43186,84143,113,4
"ge_po_23",3,"Im Leistungssport ist Doping die",190,5,62,472,0,8.081,0.384,0.434,0.314,196,46574,46034,92608,123,4
"ge_po_23",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,5,59,471,0,7.902,0.322,0.327,0.321,208,45530,52304,97834,110,3
"ge_po_23",5,"Der Weltumwelttag oder auch Tag",152,8,35,398,0,7.58,0.309,0.326,0.268,219,45279,41978,87257,105,3
"ge_po_23",6,"Das Monokelist eine Sehhilfe, die",149,1,39,398,0,7.162,0.315,0.393,0.271,211,42523,41374,83897,107,4
"ge_po_23",7,"Eine Weinprobe ist die sensorische",198,7,36,404,0,6.913,0.288,0.337,0.215,212,51545,34014,85559,139,3
"ge_po_24",1,"In der alten römischen Religion",174,12,50,250,0,9.464,0.741,0.24,0.432,210,32320,20162,52482,199,3
"ge_po_24",11,"Die Internationale Union für Naturschutz",171,2,35,211,0,10.628,0.386,0.234,0.266,196,31820,9486,41306,248,4
"ge_po_24",3,"Im Leistungssport ist Doping die",190,11,64,348,0,10.036,0.847,0.34,0.422,191,37089,29542,66631,171,4
"ge_po_24",5,"Der Weltumwelttag oder auch Tag",152,5,32,195,0,10.914,0.961,0.3,0.38,201,27076,12039,39115,233,3
"ge_po_24",6,"Das Monokelist eine Sehhilfe, die",149,5,54,294,0,10.009,0.443,0.288,0.432,210,31558,30314,61872,144,3
"ge_po_24",7,"Eine Weinprobe ist die sensorische",198,10,52,249,0,9.617,0.46,0.216,0.338,193,34724,13380,48104,247,3
"ge_po_24",8,"Orangensaft ist ein Fruchtsaft, der",132,4,31,186,0,11.076,0.477,0.232,0.384,182,22106,11797,33903,234,3
"ge_po_24",9,"Der Imker beschäftigt sich mit",173,6,53,268,0,10.449,0.734,0.25,0.45,190,30913,20134,51047,203,4
"ge_po_25",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,20,39,272,0,7.177,0.406,0.269,0.291,187,30136,20654,50790,189,3
"ge_po_25",2,"Das Wort Shaka, begleitet von",159,22,31,260,0,7.087,0.459,0.341,0.217,182,30900,16529,47429,201,4
"ge_po_25",3,"Im Leistungssport ist Doping die",190,22,36,282,0,8.627,0.779,0.277,0.252,180,35872,15018,50890,224,3
"ge_po_25",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,20,33,254,0,8.041,0.461,0.23,0.257,192,34600,14191,48791,221,3
"ge_po_25",6,"Das Monokelist eine Sehhilfe, die",149,20,36,253,0,8.394,0.597,0.289,0.266,189,31062,16810,47872,187,3
"ge_po_25",8,"Orangensaft ist ein Fruchtsaft, der",132,22,28,216,0,7.534,0.326,0.289,0.219,191,29579,11593,41172,192,4
"ge_po_25",9,"Der Imker beschäftigt sich mit",173,22,42,283,0,7.2,0.272,0.318,0.277,183,35604,16320,51924,200,3
"ge_po_26",10,"Eine Nationalflagge symbolisiert als Flagge",180,18,22,223,0,7.425,0.372,0.306,0.143,204,40212,5225,45437,238,3
"ge_po_26",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,14,13,182,0,7.874,0.369,0.353,0.103,204,34041,3059,37100,259,4
"ge_po_26",3,"Im Leistungssport ist Doping die",190,20,28,246,0,8.042,0.537,0.301,0.168,204,41460,8785,50245,227,4
"ge_po_26",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,24,29,260,0,7.771,0.65,0.282,0.181,199,40647,11077,51724,209,3
"ge_po_26",5,"Der Weltumwelttag oder auch Tag",152,20,26,250,0,7.831,0.77,0.333,0.222,203,35999,14644,50643,180,2
"ge_po_26",6,"Das Monokelist eine Sehhilfe, die",149,17,25,218,0,6.951,0.47,0.317,0.183,200,35187,8365,43552,205,1
"ge_po_26",7,"Eine Weinprobe ist die sensorische",198,20,24,236,0,7.851,0.283,0.263,0.151,209,42747,6481,49228,241,3
"ge_po_26",9,"Der Imker beschäftigt sich mit",173,16,19,207,0,8.032,0.422,0.299,0.134,214,39781,4472,44253,235,4
"ge_po_27",2,"Das Wort Shaka, begleitet von",159,2,43,194,0,9.148,0.384,0.128,0.376,246,35417,12374,47791,200,4
"ge_po_27",3,"Im Leistungssport ist Doping die",190,2,36,201,0,11.319,0.653,0.164,0.3,242,39478,9226,48704,234,4
"ge_po_27",5,"Der Weltumwelttag oder auch Tag",152,2,30,218,0,9.207,0.355,0.27,0.262,265,47510,10271,57781,158,3
"ge_po_27",6,"Das Monokelist eine Sehhilfe, die",149,6,39,215,0,9.5,0.617,0.33,0.34,248,34004,19328,53332,168,4
"ge_po_27",7,"Eine Weinprobe ist die sensorische",198,25,37,215,0,9.503,0.485,0.196,0.245,232,40514,9470,49984,238,4
"ge_po_28",1,"In der alten römischen Religion",174,4,34,188,0,9.714,0.523,0.178,0.279,210,31585,7803,39388,265,3
"ge_po_28",2,"Das Wort Shaka, begleitet von",159,4,43,189,0,11.254,0.547,0.133,0.363,188,25327,10264,35591,268,4
"ge_po_28",3,"Im Leistungssport ist Doping die",190,2,25,141,0,15.301,0.647,0.196,0.245,165,20544,2693,23237,491,2
"ge_po_28",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,1,50,207,0,13.056,0.567,0.16,0.387,179,24506,12619,37125,291,2
"ge_po_28",5,"Der Weltumwelttag oder auch Tag",152,5,32,177,0,12.441,0.651,0.27,0.35,186,23136,9710,32846,278,3
"ge_po_28",6,"Das Monokelist eine Sehhilfe, die",149,1,27,162,0,12.101,0.691,0.219,0.281,184,20875,8861,29736,301,4
"ge_po_28",9,"Der Imker beschäftigt sich mit",173,1,34,187,0,12.053,0.555,0.229,0.303,166,22639,8448,31087,334,4
"ge_po_29",10,"Eine Nationalflagge symbolisiert als Flagge",180,25,17,194,2,7.955,0.433,0.306,0.112,196,35683,2372,38055,284,3
"ge_po_29",11,"Die Internationale Union für Naturschutz",171,22,15,188,0,7.572,0.526,0.325,0.12,193,33909,2378,36287,283,2
"ge_po_29",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,32,19,189,0,7.667,0.681,0.254,0.146,191,33516,2500,36016,267,2
"ge_po_29",6,"Das Monokelist eine Sehhilfe, die",149,22,23,187,0,7.488,0.611,0.302,0.198,194,30667,5666,36333,246,3
"ge_po_29",7,"Eine Weinprobe ist die sensorische",198,34,22,226,0,7.233,0.742,0.253,0.146,195,39923,4150,44073,270,4
"ge_po_29",8,"Orangensaft ist ein Fruchtsaft, der",132,24,20,164,0,8.839,0.742,0.304,0.196,188,24041,6723,30764,257,3
"ge_po_29",9,"Der Imker beschäftigt sich mit",173,23,19,201,0,7.835,0.549,0.311,0.129,195,35265,3931,39196,265,3
"ge_po_30",1,"In der alten römischen Religion",174,10,52,317,0,9.358,0.534,0.196,0.399,198,34780,27891,62671,167,4
"ge_po_30",10,"Eine Nationalflagge symbolisiert als Flagge",180,9,43,280,0,9.061,0.411,0.254,0.317,203,38840,18052,56892,190,3
"ge_po_30",11,"Die Internationale Union für Naturschutz",171,8,41,337,0,9.775,0.439,0.274,0.289,206,38549,30719,69268,148,4
"ge_po_30",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,6,28,208,0,8.646,0.375,0.267,0.275,197,29925,11057,40982,234,3
"ge_po_30",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,10,47,299,0,10.638,0.456,0.186,0.307,194,30767,27100,57867,187,3
"ge_po_30",5,"Der Weltumwelttag oder auch Tag",152,4,41,245,0,8.645,0.586,0.291,0.368,198,30714,17853,48567,188,4
"ge_po_30",6,"Das Monokelist eine Sehhilfe, die",149,8,45,265,0,10.45,0.745,0.136,0.368,194,26808,24490,51298,174,4
"ge_po_30",7,"Eine Weinprobe ist die sensorische",198,5,31,232,0,9.01,0.419,0.188,0.228,206,36998,10908,47906,248,4
"ge_po_30",8,"Orangensaft ist ein Fruchtsaft, der",132,11,54,366,0,10.192,0.379,0.267,0.371,198,29258,43297,72555,109,4
"ge_po_30",9,"Der Imker beschäftigt sich mit",173,11,43,264,0,8.86,0.428,0.26,0.313,198,32990,19250,52240,199,4
"ge_po_31",1,"In der alten römischen Religion",174,2,47,249,0,9.029,0.523,0.336,0.359,184,31612,14152,45764,228,3
"ge_po_31",11,"Die Internationale Union für Naturschutz",171,0,48,236,2,9.902,0.386,0.291,0.362,189,31116,13409,44525,230,4
"ge_po_31",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,0,39,171,0,11.094,0.425,0.153,0.331,184,24990,6399,31389,306,4
"ge_po_31",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,0,48,210,0,9.901,0.461,0.167,0.354,196,32044,9115,41159,262,4
"ge_po_31",6,"Das Monokelist eine Sehhilfe, die",149,0,41,178,2,10.117,0.389,0.102,0.323,198,27724,7596,35320,253,3
"ge_po_31",7,"Eine Weinprobe ist die sensorische",198,0,57,247,1,9.932,0.359,0.168,0.323,195,37678,10456,48134,247,3
"ge_po_31",8,"Orangensaft ist ein Fruchtsaft, der",132,0,34,164,4,10.739,0.379,0.192,0.337,192,25633,5886,31519,251,3
"ge_po_31",9,"Der Imker beschäftigt sich mit",173,0,43,217,2,8.674,0.382,0.201,0.309,212,34827,11193,46020,226,4
"ge_po_32",1,"In der alten römischen Religion",174,2,46,282,0,6.904,0.466,0.234,0.316,237,45143,21829,66972,156,3
"ge_po_32",10,"Eine Nationalflagge symbolisiert als Flagge",180,4,50,318,0,7.267,0.456,0.25,0.299,237,48946,26551,75497,143,4
"ge_po_32",3,"Im Leistungssport ist Doping die",190,8,45,310,0,7.451,0.458,0.244,0.285,219,50071,17921,67992,168,4
"ge_po_32",5,"Der Weltumwelttag oder auch Tag",152,4,49,303,0,7.239,0.487,0.326,0.364,223,38896,28809,67705,135,3
"ge_po_32",6,"Das Monokelist eine Sehhilfe, die",149,2,34,256,0,6.628,0.55,0.273,0.266,244,36779,25663,62442,143,4
"ge_po_32",7,"Eine Weinprobe ist die sensorische",198,4,41,308,0,7.173,0.404,0.266,0.254,222,52155,16173,68328,174,4
"ge_po_32",8,"Orangensaft ist ein Fruchtsaft, der",132,2,33,221,0,7.446,0.795,0.363,0.319,231,32155,19002,51157,155,4
"ge_po_32",9,"Der Imker beschäftigt sich mit",173,4,50,304,0,7.518,0.746,0.286,0.325,231,46489,23689,70178,148,3
"ge_po_33",10,"Eine Nationalflagge symbolisiert als Flagge",180,0,54,270,0,8.131,0.439,0.342,0.397,203,39952,14858,54810,197,4
"ge_po_33",11,"Die Internationale Union für Naturschutz",171,0,44,264,0,8.346,0.503,0.345,0.331,217,42518,14687,57205,179,3
"ge_po_33",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,0,49,267,0,8.13,0.506,0.277,0.387,212,38206,18297,56503,170,3
"ge_po_33",5,"Der Weltumwelttag oder auch Tag",152,1,41,271,0,8,0.592,0.413,0.339,221,42660,17319,59979,152,4
"ge_po_33",6,"Das Monokelist eine Sehhilfe, die",149,2,62,314,0,7.367,0.993,0.364,0.447,216,41327,26642,67969,132,2
"ge_po_33",7,"Eine Weinprobe ist die sensorische",198,1,61,322,0,7.431,0.439,0.272,0.367,217,51305,18636,69941,170,4
"ge_po_33",8,"Orangensaft ist ein Fruchtsaft, der",132,1,43,245,0,8.076,0.439,0.384,0.357,207,35643,14961,50604,157,4
"ge_po_34",10,"Eine Nationalflagge symbolisiert als Flagge",180,4,16,228,0,6.972,0.239,0.331,0.101,228,48494,3437,51931,208,4
"ge_po_34",11,"Die Internationale Union für Naturschutz",171,5,13,215,0,7.265,0.281,0.4,0.1,216,41993,4547,46540,220,4
"ge_po_34",2,"Das Wort Shaka, begleitet von",159,4,7,193,0,6.133,0.245,0.339,0.047,238,44186,1795,45981,207,4
"ge_po_34",3,"Im Leistungssport ist Doping die",190,6,10,259,0,6.177,0.242,0.49,0.054,221,54247,2960,57207,199,4
"ge_po_34",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,6,7,226,0,6.207,0.228,0.387,0.042,232,51275,1239,52514,206,4
"ge_po_34",5,"Der Weltumwelttag oder auch Tag",152,7,12,230,0,5.963,0.309,0.372,0.093,228,50661,1876,52537,174,4
"ge_po_34",6,"Das Monokelist eine Sehhilfe, die",149,6,13,221,0,6.034,0.201,0.403,0.105,235,44260,7594,51854,172,4
