id,trialid,in_span_mean,out_span_mean,relative_TRT,Text_TRT,Target_TRT,Fix_Target,target_to_fixation_ratio,Fix_Total,Correct_Flag
A1YRYQBQGQRY1Q,meco_para_11,62.0,424.55434782608694,0.006063825889422197,54586.0,331.0,5,0.0110619469,452,1
A1YTB9G04PC71S,meco_para_12,238.66666666666666,247.61971830985917,0.032467238017503286,22053.0,716.0,6,0.027027027,222,1
A20SL254675EOK,meco_para_3,107.57142857142857,113.5,0.08992118461905899,8374.0,753.0,9,0.0927835052,97,1
A23KAJRDVCVGOE,meco_para_12,120.0,229.8227848101266,0.009043635541487679,26538.0,240.0,3,0.009009009,333,1
A24LB89P1BPKKF,meco_para_11,116.0,355.3424657534247,0.003154917319408181,36768.0,116.0,1,0.0027700831,361,1
A25TQ73VVCOM4X,meco_para_11,429.6666666666667,306.8484848484849,0.0413450096115705,32773.0,1355.0,14,0.0433436533,323,1
A28VE2YSRYE3B8,meco_para_12,251.8,271.6842105263158,0.058230424124693585,21621.0,1259.0,13,0.0528455285,246,0
A292T1OXCVXN78,meco_para_3,131.75,166.9512195121951,0.08029252685305097,13127.0,1054.0,11,0.0780141844,141,1
A293JF50QSYCRO,meco_para_12,288.6,294.09090909090907,0.08248921630397907,20633.0,1702.0,17,0.0798122066,213,1
A2APG8MSLJ6G2K,meco_para_7,520.0,386.69767441860466,0.07109826589595376,27680.0,1968.0,20,0.0643086817,311,0
A2G57M3XD1AIBS,meco_para_11,170.0,290.52941176470586,0.010626024652377193,32938.0,350.0,3,0.0096463023,311,0
A2H1QUGX0SOUMH,meco_para_11,397.5,156.6875,0.05027191096496775,15814.0,795.0,10,0.0476190476,210,1
A2HOEI5M6G883O,meco_para_11,781.3333333333334,551.5593220338983,0.040868795806273894,59899.0,2448.0,6,0.0263157895,228,1
A2I6ZALE49CVSC,meco_para_3,236.64285714285714,198.34146341463415,0.20105059441526127,18085.0,3636.0,33,0.1833333333,180,1
A2IFHU3P1MF54K,meco_para_3,547.2941176470588,628.6829268292682,0.10952898758083901,87365.0,9569.0,44,0.0852713178,516,1
A2IQ0QCTQ3KWLT,meco_para_7,300.8333333333333,501.27142857142854,0.040814019219898245,44225.0,1805.0,12,0.06,200,1
A2LLOJFA11FSZF,meco_para_11,87.0,152.61904761904762,0.06074498567335244,5235.0,318.0,4,0.0588235294,68,1
A2N9U74YIPDQ9F,meco_para_12,136.25,189.85454545454544,0.036396420462134364,14974.0,545.0,4,0.0305343511,131,1
A2OU4N4VBIE91I,meco_para_12,255.25,289.72151898734177,0.04077160596301338,30119.0,1228.0,8,0.0330578512,242,1
A2OVX9UW5WANQE,meco_para_3,191.66666666666666,243.58928571428572,0.019385725363271634,29661.0,575.0,7,0.0189701897,369,0
A2PSR3CMNR1R9X,meco_para_11,458.25,330.375,0.10063411018693898,36429.0,3666.0,16,0.062745098,255,1
A2QABS5PO2AYES,meco_para_11,382.85714285714283,279.8529411764706,0.1259442184776293,20652.0,2601.0,19,0.1233766234,154,0
A2RBF3IIJP15IH,meco_para_11,135.4,179.6451612903226,0.02702449533979673,21351.0,577.0,7,0.0300429185,233,1
A2RC9V49MHS973,meco_para_11,0,305.9795918367347,0.0,27640.0,0.0,0,0.0,268,0
A2UKBPPWF76NCT,meco_para_11,0,283.7457627118644,0.0,26354.0,0.0,0,0.0,331,1
A2V27A9GZA1NR2,meco_para_11,210.8,266.27777777777777,0.03455058021372845,30506.0,1054.0,11,0.0404411765,272,1
A2VLTSW6CXIUMR,meco_para_11,419.14285714285717,646.2718446601941,0.022888474784627844,102497.0,2346.0,22,0.0259128386,849,1
A2WBGRTWOXDE6M,meco_para_7,385.2,379.9270833333333,0.047114553030898655,50876.0,2397.0,9,0.0334572491,269,1
A2XENTYL1D1UOL,meco_para_3,95.0,487.1707317073171,0.008456062655114506,67289.0,569.0,5,0.0065963061,758,1
A2Y87M8V0N1M6P,meco_para_7,220.5,406.85897435897436,0.008802395209580838,50100.0,441.0,4,0.0127388535,314,1
A2YP60DM1HYTH8,meco_para_11,136.0,389.07246376811594,0.005389874170216982,50465.0,272.0,3,0.0078740157,381,1
A2YTY52FZNII62,meco_para_11,214.0,251.71641791044777,0.0315103610339671,28086.0,885.0,11,0.0296495957,371,1
A2Z5A7TCIR8M6E,meco_para_7,177.5,298.5507246376812,0.07686222808174027,30340.0,2332.0,27,0.0876623377,308,1
A2Z6GCD1ZNCT6Z,meco_para_11,107.4,219.28985507246378,0.023082874828060523,23264.0,537.0,6,0.0248962656,241,0
A2ZDEERVRN5AMC,meco_para_7,344.0,318.03333333333336,0.009511959076455136,36165.0,344.0,2,0.0072992701,274,0
A2ZSL0EDN3H4AT,meco_para_11,234.66666666666666,361.5326086956522,0.00704154308657668,49563.0,349.0,3,0.0068649886,437,1
A3084P5PROPWOI,meco_para_12,130.0,307.2307692307692,0.007599006283793658,34215.0,260.0,3,0.0069124424,434,1
A35J0Z5315SEBK,meco_para_12,314.75,353.5,0.03207398160650141,39253.0,1259.0,12,0.0294117647,408,1
A35P3396DDWKTT,meco_para_7,250.45833333333334,201.41666666666666,0.2364756488772237,27432.0,6487.0,72,0.2285714286,315,1
A361512FNHY889,meco_para_11,174.58333333333334,221.04054054054055,0.08249767008387698,26825.0,2213.0,23,0.074433657,309,0
A36IB78C6MVA3,meco_para_11,187.77777777777777,271.4871794871795,0.09752932627426554,38532.0,3758.0,45,0.0965665236,466,0
A37E5WQJFDG6QG,meco_para_11,107.4,192.93939393939394,0.034636871508379886,10740.0,372.0,4,0.0330578512,121,1
A38DHLB88V8DL8,meco_para_3,320.75,321.4769230769231,0.044994590466492713,31426.0,1414.0,15,0.0406504065,369,1
A39SK1E6IMQBD5,meco_para_12,85.0,489.64,0.0016106416038200629,52774.0,85.0,1,0.0021929825,456,1
A3A1KP2SJRGNRZ,meco_para_11,82.5,84.21739130434783,0.10724731881702958,3077.0,330.0,4,0.0952380952,42,0
A3B2YRSMSC2J3T,meco_para_11,65.2,90.57894736842105,0.1425448185395715,2287.0,326.0,5,0.1388888889,36,0
A3DTG2QEFWI2II,meco_para_11,113.28571428571429,155.29166666666666,0.1404782993799823,5645.0,793.0,11,0.1666666667,66,0
A3EQVDHHKZRC0K,meco_para_3,217.15,396.5,0.07480134084296143,58769.0,4396.0,68,0.0757238307,898,1
A3EU8ENRH654SB,meco_para_11,67.5,279.126582278481,0.00566145692173337,33207.0,188.0,3,0.0099337748,302,1
A3FL5SZK2XRTFB,meco_para_3,163.0,376.8453608247423,0.04413732865615711,70983.0,3133.0,37,0.0435294118,850,1
A3FPXYVABXB9IZ,meco_para_7,284.09090909090907,182.59322033898306,0.1601742696053306,19510.0,3125.0,29,0.1518324607,191,1
A3HNEYFOIJWPH1,meco_para_12,0,221.5686274509804,0.0,15238.0,0.0,0,0.0,141,1
A3K0U7YO7V7KZF,meco_para_11,134.9090909090909,186.88095238095238,0.14529049666919638,11859.0,1723.0,22,0.1466666667,150,1
A3L95FSCN74FIF,meco_para_3,4416.75,2073.073684210526,0.054413702966365746,362666.0,19734.0,218,0.0593035909,3676,0
A3MHP4LZ3V88NF,meco_para_11,84.66666666666667,85.86666666666666,0.1111597374179431,2285.0,254.0,4,0.1111111111,36,0
A3NXT3OVGL7QNR,meco_para_11,87.33333333333333,627.3283582089553,0.0072334727571402935,72441.0,524.0,7,0.0169491525,413,1
A3NXW2JI4DU0C0,meco_para_11,166.0,536.0493827160494,0.036654022157996145,66432.0,2435.0,27,0.0419906687,643,0
A3RDJ3UZ9EJP6Y,meco_para_11,695.875,461.84507042253523,0.11929371231696813,53406.0,6371.0,58,0.1155378486,502,0
A3RI9RLBGPG2B6,meco_para_11,95.8,125.68333333333334,0.04140375140461578,11569.0,479.0,7,0.0419161677,167,1
A3RMV9ZGFJ0HHF,meco_para_12,271.5,366.38461538461536,0.05932967303122183,36609.0,2172.0,18,0.0633802817,284,1
A3RVHUY67SVXQV,meco_para_7,0,294.77272727272725,0.002853426209558978,23831.0,68.0,1,0.0059171598,169,1
A3VHDQR8A9JJ4F,meco_para_11,0,657.5636363636364,0.0,44208.0,0.0,0,0.0,363,1
A489K1IFOM4JW,meco_para_12,209.57142857142858,463.65,0.01965402907596057,66653.0,1310.0,15,0.0220913108,679,1
A4CHLWPHZIP7Y,meco_para_12,50.0,189.2394366197183,0.004722996268832947,21173.0,100.0,2,0.0076335878,262,1
A4W9APAHFWVLO,meco_para_3,146.35714285714286,240.38805970149255,0.07762816641205102,28147.0,2185.0,23,0.0877862595,262,1
A4W9APAHFWVLO,meco_para_12,443.25,366.875,0.0566598491627253,31292.0,1773.0,6,0.03125,192,1
A7GT7BIC7ERWE,meco_para_7,207.0,172.77777777777777,0.017985924059431748,23018.0,414.0,3,0.0125,240,1
A7SW6SVNJ5V6O,meco_para_3,171.75,238.3095238095238,0.036222924394376514,21837.0,791.0,8,0.0379146919,211,1
A8C3WNWRBWUXO,meco_para_3,655.3846153846154,365.74074074074076,0.20851875397329941,40898.0,8528.0,92,0.1928721174,477,1
A9KXY0C9JHSZL,meco_para_12,190.5,111.52631578947368,0.10058078141499471,3788.0,381.0,4,0.0930232558,43,1
ACTQSBR4YRLZZ,meco_para_3,212.3913043478261,265.9010989010989,0.11346204079694142,42111.0,4778.0,57,0.1233766234,462,1
AI8E3ZLZ3FO6O,meco_para_11,167.28571428571428,117.88888888888889,0.3295819935691318,3732.0,1230.0,12,0.2790697674,43,0
AIA7RZSAONU5M,meco_para_7,298.2142857142857,279.78823529411767,0.11601931444338322,37692.0,4373.0,38,0.1214057508,313,1
AKAM01E1R4KAF,meco_para_3,151.42857142857142,200.53333333333333,0.033685013346892084,31468.0,1060.0,14,0.0344827586,406,1
AKNBC1TE88NDO,meco_para_12,231.4,223.04347826086956,0.03702519276551896,28143.0,1042.0,10,0.0305810398,327,1
AMPR904VJJFZY,meco_para_3,246.0,170.76923076923077,0.055502284392802755,17729.0,984.0,4,0.0229885057,174,0
ANCTZADQC3D75,meco_para_11,375.375,1068.8021978021977,0.019010396411811983,154284.0,2933.0,27,0.0191761364,1408,1
ANX6Q4NMZL8EI,meco_para_3,254.53846153846155,322.5833333333333,0.08437763268744734,37984.0,3205.0,29,0.0781671159,371,1
AQMLJYUQCSG22,meco_para_11,325.14285714285717,287.625,0.07591907765934305,32179.0,2443.0,20,0.0757575758,264,1
ARUXG5FD1Q76F,meco_para_11,253.8,441.9125,0.027588909571862448,51035.0,1408.0,14,0.0313199105,447,1
AT6LDQNLKTUSE,meco_para_12,297.0,263.2173913043478,0.07032914989344068,16892.0,1188.0,11,0.0607734807,181,0
ATA9BBCLTE2HS,meco_para_11,843.0,180.9,0.2808127914723518,3002.0,843.0,3,0.1153846154,26,0
AUA3VQ48GSMLF,meco_para_12,100.0,98.9375,0.04151100041511,2409.0,100.0,1,0.03125,32,1
AX8NXTT8QMGHC,meco_para_11,123.66666666666667,448.8607594936709,0.011711403658745085,46792.0,548.0,5,0.0139275766,359,1
AXY0D2AMLKE2A,meco_para_11,244.28571428571428,181.95,0.08058413148870758,16914.0,1363.0,13,0.0656565657,198,1
AYQTQYOLTNY0Y,meco_para_11,129.5,95.8125,0.21005677210056772,2466.0,518.0,4,0.1333333333,30,0
AYY0UC6KCN9RW,meco_para_3,129.8125,338.58620689655174,0.06701461377870564,33530.0,2247.0,34,0.0705394191,482,0
AYYSG3O9FNU15,meco_para_11,143.5,228.51020408163265,0.016357004445457655,17546.0,287.0,2,0.0165289256,121,0
AZU9D7YLCTAYV,meco_para_3,596.4090909090909,512.2631578947369,0.2060627355778445,62612.0,12902.0,76,0.1771561772,429,1
p1-lab-control,meco_para_3,202.0,204.4848484848485,0.18769787426503845,13266.0,2490.0,22,0.1833333333,120,1
A10BH9PYCYUKDJ,a_ScottishParliament_2,0,568.4444444444445,0.0,38062.0,0.0,0,0.0,229,1
A10W3EILX06DFO,a_Steamengine_0,96.0,95.72727272727273,0.035346097201767304,2716.0,96.0,1,0.0243902439,41,0
A11EZAV2HRYKD5,a_MartinLuther_4,84.0,71.0,0.020197162779514305,4159.0,84.0,1,0.012195122,82,1
A11YS0T8MV3Q7C,a_ScottishParliament_2,0,383.3414634146341,0.0,22272.0,0.0,0,0.0,182,0
A12HLLXWOQJ14Q,a_HarvardUniversity_2,0,295.07142857142856,0.0,16645.0,0.0,0,0.0,203,1
A12NT768CR36E5,a_SouthernCalifornia_2,180.0,228.51351351351352,0.03178246667255231,11327.0,360.0,5,0.0390625,128,1
A13WTEQ06V3B6D,a_Force_3,218.0,190.59259259259258,0.03656184486373166,11925.0,436.0,4,0.0327868852,122,0
A160BYMX7X0EPG,a_SkyUnitedKingdom_4,191.0,294.4782608695652,0.034834324553950725,12947.0,451.0,7,0.0424242424,165,1
A17Q4QN6UE0EZC,a_Warsaw_2,68.0,139.57692307692307,0.01145359609230251,5937.0,68.0,1,0.0163934426,61,0
A18JFH5XQAUVAK,a_DoctorWho_4,0,204.8181818181818,0.0,7768.0,0.0,0,0.0,111,1
A19F9CLZ0XWBYR,a_Economicinequality_2,396.25,215.65,0.42136348295646303,11852.0,4994.0,49,0.4117647059,119,0
A19L8SNH73AX1Z,a_Rhine_2,412.5,327.6666666666667,0.033165829145728645,24875.0,825.0,7,0.033492823,209,0
A1B7X75L6JOPGM,a_MartinLuther_4,0,72.0,0.0,650.0,0.0,0,0.0,12,1
A1BASVXQK125PD,a_HarvardUniversity_2,0,407.2307692307692,0.0,21025.0,0.0,0,0.0,209,0
A1CPY1HLCFTIL1,a_SkyUnitedKingdom_4,0,762.4242424242424,0.0,70106.0,0.0,0,0.0,625,0
A1D26DHX9CDRGI,a_Huguenot_0,0,187.06666666666666,0.0,3212.0,0.0,0,0.0,33,0
A1D41E24S4E4I4,a_Steamengine_0,700.0,353.1578947368421,0.025348542458808618,27615.0,700.0,5,0.0164473684,304,1
A1HR8IRDC07FO9,a_Chloroplast_1,0,418.4166666666667,0.0,30041.0,0.0,0,0.0,317,1
A1IJ6E21R29K53,a_SuperBowl50_3,304.5,434.9,0.05023094688221709,12124.0,609.0,8,0.0540540541,148,0
A1ISZTMNHXPB4C,a_MartinLuther_4,171.0,83.33333333333333,0.03761467889908257,6540.0,246.0,3,0.0394736842,76,1
A1JI19KPIVNL3Y,a_Economicinequality_2,665.9444444444445,303.0416666666667,0.5129295483277784,26103.0,13389.0,137,0.4910394265,279,1
A1JWPEUSQYB6XL,a_SuperBowl50_3,0,148.33333333333334,0.0,4856.0,0.0,0,0.0,50,1
A1K76PLMB0YQT5,a_1973oilcrisis_1,59.0,543.8958333333334,0.0016315018112435362,36163.0,59.0,1,0.0020325203,492,1
A1KGPGSI6I9TQ5,a_Huguenot_0,0,184.02857142857144,0.0,8110.0,0.0,0,0.0,96,0
A1LTVR9DOB62B1,a_1973oilcrisis_1,530.3,274.90909090909093,0.350923747058529,19973.0,7009.0,63,0.3298429319,191,0
A1N93G08WP4XH7,a_Chloroplast_1,300.0,340.6842105263158,0.011818002757533978,25385.0,300.0,3,0.0175438596,171,1
A1OM5NWYYYJKQW,a_Force_3,0,294.94117647058823,0.0,16163.0,0.0,0,0.0,93,1
A1OZPLHNIU1519,a_JacksonvilleFlorida_0,239.0,201.17857142857142,0.012738514017695341,18762.0,239.0,2,0.0097560976,205,1
A1PHDT66U6IK4Q,a_Huguenot_0,538.0,375.42028985507244,0.028256916801808443,40698.0,1150.0,14,0.0274509804,510,1
A1QMJNJ5FGC09,a_1973oilcrisis_1,104.33333333333333,154.95652173913044,0.042771248975129815,7318.0,313.0,5,0.0666666667,75,0
A1T9BJRS4IL8VQ,a_Rhine_2,101.0,108.54166666666667,0.03055051421657592,3306.0,101.0,1,0.0222222222,45,1
A1VGM6OJRPRNCQ,a_HarvardUniversity_2,0,194.69230769230768,0.0,6933.0,0.0,0,0.0,82,0
A1WH32GYQOHIRQ,a_1973oilcrisis_1,162.5,352.7692307692308,0.02712345964518154,30269.0,821.0,9,0.0296052632,304,0
A1WRZX4HNRMVG1,a_Huguenot_0,0,256.44897959183675,0.0,17664.0,0.0,0,0.0,156,0
A1YRYQBQGQRY1Q,a_Teacher_3,200.5,222.92592592592592,0.03226325529004747,12429.0,401.0,3,0.0243902439,123,0
A1YTB9G04PC71S,a_JacksonvilleFlorida_0,0,225.95652173913044,0.00641440974471945,15434.0,99.0,1,0.0060240964,166,0
A20SL254675EOK,a_HarvardUniversity_2,0,134.97058823529412,0.0,5876.0,0.0,0,0.0,68,0
A23KAJRDVCVGOE,a_Computationalcomplexitytheory_2,156.5625,177.06666666666666,0.45905267817618417,6777.0,3111.0,37,0.4457831325,83,0
A24LB89P1BPKKF,a_1973oilcrisis_1,0,479.5128205128205,0.0,26391.0,0.0,0,0.0,239,0
A25TQ73VVCOM4X,a_1973oilcrisis_1,0,291.9736842105263,0.0,17785.0,0.0,0,0.0,205,0
A28VE2YSRYE3B8,a_Chloroplast_1,0,71.5,0.0,143.0,0.0,0,0.0,3,1
A292T1OXCVXN78,a_Computationalcomplexitytheory_1,0,140.55172413793105,0.0,7145.0,0.0,0,0.0,79,0
A293JF50QSYCRO,a_DoctorWho_4,0,397.7894736842105,0.0,20483.0,0.0,0,0.0,208,1
A2APG8MSLJ6G2K,a_Force_3,239.0,360.93333333333334,0.01338560627275273,17855.0,239.0,3,0.0147058824,204,1
A2G57M3XD1AIBS,a_SouthernCalifornia_2,341.5,391.9142857142857,0.03626612860404609,18833.0,683.0,5,0.0282485876,177,0
A2H1QUGX0SOUMH,a_Rhine_2,0,179.91304347826087,0.0,7722.0,0.0,0,0.0,123,1
A2HOEI5M6G883O,a_Teacher_3,514.0,249.47058823529412,0.06203234371228578,8286.0,514.0,1,0.0192307692,52,1
A2I6ZALE49CVSC,a_HarvardUniversity_2,313.0,204.94594594594594,0.02410288002464192,12986.0,313.0,3,0.0223880597,134,0
A2IFHU3P1MF54K,a_ScottishParliament_2,0,334.05263157894734,0.0,22125.0,0.0,0,0.0,125,0
A2IQ0QCTQ3KWLT,a_Imperialism_0,1089.0,378.3777777777778,0.0,23371.0,0.0,0,0.0,118,0
A2LLOJFA11FSZF,a_SkyUnitedKingdom_4,251.0,152.77777777777777,0.07196100917431193,3488.0,251.0,2,0.0454545455,44,1
A2N9U74YIPDQ9F,a_Computationalcomplexitytheory_2,126.375,180.0,0.13506684914201494,9499.0,1283.0,13,0.1226415094,106,0
A2OU4N4VBIE91I,a_Chloroplast_1,0,605.969696969697,0.0,34912.0,0.0,0,0.0,288,1
A2OVX9UW5WANQE,a_Warsaw_2,332.0,257.9433962264151,0.020394381415451107,22212.0,453.0,6,0.020979021,286,0
A2PSR3CMNR1R9X,a_Rhine_2,205.0,520.2432432432432,0.007642979643576169,26822.0,205.0,2,0.0124223602,161,0
A2QABS5PO2AYES,a_Huguenot_0,0,863.7647058823529,0.0,18571.0,0.0,0,0.0,125,1
A2RBF3IIJP15IH,a_SkyUnitedKingdom_4,0,172.22727272727272,0.0,10187.0,0.0,0,0.0,109,1
A2RC9V49MHS973,a_Steamengine_0,62.0,260.10526315789474,0.003979971755039158,15578.0,62.0,1,0.0059171598,169,0
A2UKBPPWF76NCT,a_SkyUnitedKingdom_4,249.0,401.2903225806452,0.009680805567435169,25721.0,249.0,3,0.0089285714,336,1
A2V27A9GZA1NR2,a_Rhine_2,446.0,324.65,0.05206595347924232,20378.0,1061.0,8,0.0484848485,165,0
A2VLTSW6CXIUMR,a_SkyUnitedKingdom_4,65.0,507.27906976744185,0.0012882000872012367,50458.0,65.0,1,0.0023752969,421,0
A2WBGRTWOXDE6M,a_Imperialism_0,1343.0,537.8253968253969,0.017790485267254387,50364.0,896.0,4,0.012987013,308,0
A2XENTYL1D1UOL,a_ScottishParliament_2,53.0,291.2972972972973,0.0032366200439255576,34604.0,112.0,2,0.0043668122,458,1
A2Y87M8V0N1M6P,a_Force_3,63.0,371.5882352941176,0.0027236176559595347,23131.0,63.0,1,0.0064102564,156,0
A2YP60DM1HYTH8,a_1973oilcrisis_1,0,611.5,0.0,33289.0,0.0,0,0.0,213,1
A2YTY52FZNII62,a_Rhine_2,0,201.70833333333334,0.0,13648.0,0.0,0,0.0,179,0
A2Z5A7TCIR8M6E,a_Imperialism_0,747.0,260.2,0.04503526858383071,14744.0,664.0,8,0.0559440559,143,0
A2Z6GCD1ZNCT6Z,a_SouthernCalifornia_2,320.0,249.93023255813952,0.04584681769147789,22248.0,1020.0,11,0.0458333333,240,0
A2ZDEERVRN5AMC,a_Force_3,155.0,279.02941176470586,0.01451718647560176,21354.0,310.0,2,0.0122699387,163,0
A2ZSL0EDN3H4AT,a_Rhine_2,200.5,319.6825396825397,0.013473104189765817,29763.0,401.0,3,0.0111940299,268,0
A3084P5PROPWOI,a_JacksonvilleFlorida_0,0,220.44117647058823,0.0,10911.0,0.0,0,0.0,153,1
A35J0Z5315SEBK,a_JacksonvilleFlorida_0,0,256.51612903225805,0.0,22361.0,0.0,0,0.0,238,0
A35P3396DDWKTT,a_Imperialism_0,68.0,170.21875,0.0065923412506059135,10315.0,68.0,1,0.0080645161,124,0
A361512FNHY889,a_Steamengine_0,69.0,156.88,0.0051084622788183905,13507.0,69.0,1,0.0060240964,166,0
A36IB78C6MVA3,a_SouthernCalifornia_2,150.0,249.75,0.004693977078761278,16404.0,77.0,1,0.0044247788,226,0
A37E5WQJFDG6QG,a_Huguenot_0,0,126.48387096774194,0.0,5697.0,0.0,0,0.0,71,1
A38DHLB88V8DL8,a_Warsaw_2,97.0,375.46666666666664,0.006631583450990459,23373.0,155.0,2,0.0068027211,294,0
A39SK1E6IMQBD5,a_Computationalcomplexitytheory_2,437.05263157894734,274.14814814814815,0.45190917991514756,21449.0,9693.0,83,0.4129353234,201,0
A3A1KP2SJRGNRZ,a_SouthernCalifornia_2,718.0,361.2391304347826,0.07492188067727636,27522.0,2062.0,27,0.0745856354,362,0
A3B2YRSMSC2J3T,a_SuperBowl50_3,0,98.0,0.0,2105.0,0.0,0,0.0,21,1
A3DTG2QEFWI2II,a_SuperBowl50_3,442.0,484.3636363636364,0.06607760276603919,15618.0,1032.0,11,0.0578947368,190,1
A3EQVDHHKZRC0K,a_Computationalcomplexitytheory_1,607.0,317.4,0.022453207072575275,27034.0,607.0,6,0.0147058824,408,1
A3EU8ENRH654SB,a_Steamengine_0,62.0,233.34285714285716,0.002660030890681311,23308.0,62.0,1,0.0044444444,225,0
A3FL5SZK2XRTFB,a_HarvardUniversity_2,63.0,292.07547169811323,0.006005186297256722,21981.0,132.0,2,0.0070921986,282,1
A3FPXYVABXB9IZ,a_Imperialism_0,408.0,275.48,0.016662546353522868,20225.0,337.0,4,0.0174672489,229,1
A3HNEYFOIJWPH1,a_JacksonvilleFlorida_0,0,237.6,0.0,11549.0,0.0,0,0.0,118,0
A3K0U7YO7V7KZF,a_Steamengine_0,164.0,137.88235294117646,0.02623580227163654,6251.0,164.0,1,0.014084507,71,0
A3L95FSCN74FIF,a_Economicinequality_2,569.3809523809524,357.0,0.5520179020100503,25472.0,14061.0,135,0.5443548387,248,1
A3MHP4LZ3V88NF,a_SuperBowl50_3,0,225.4,0.0,2239.0,0.0,0,0.0,29,0
A3NXT3OVGL7QNR,a_Teacher_3,53.0,141.38095238095238,0.00510204081632653,10388.0,53.0,1,0.0086956522,115,1
